test_week,horizon,horizon_date,entity_id,liquidity_group,model,strategy,actual,forecast_p90,error,abs_error,wape,directionality,target_wape,meets_target
2025-07-07,1,2025-07-07,057,TRP,lightgbm,recursive,-24644.550000000003,-18534.29191877718,6110.2580812228225,6110.2580812228225,0.24793546975793113,1,0.05,False
2025-07-07,2,2025-07-14,057,TRP,lightgbm,recursive,-97815.62,-63357.056766301146,34458.56323369885,34458.56323369885,0.352280783311488,1,0.075,False
2025-07-07,4,2025-07-28,057,TRP,lightgbm,recursive,-128139.77,-52680.419619705244,75459.35038029475,75459.35038029475,0.5888831420588218,1,0.125,False
2025-07-07,5,2025-08-04,057,TRP,lightgbm,recursive,-53665.81,-54726.764200713915,-1060.954200713917,1060.954200713917,0.019769648510176537,1,0.15,True
2025-07-07,6,2025-08-11,057,TRP,lightgbm,recursive,-471.96,-2931.194104460791,-2459.234104460791,2459.234104460791,5.210683330072022,1,0.175,False
2025-07-07,7,2025-08-18,057,TRP,lightgbm,recursive,-16358.4,-5796.461134541132,10561.938865458867,10561.938865458867,0.6456584302535008,1,0.2,False
2025-07-07,8,2025-08-25,057,TRP,lightgbm,recursive,-294172.74,-64400.03206331448,229772.7079366855,229772.7079366855,0.7810808980352344,1,0.225,False
2025-07-07,1,2025-07-07,057,TRR,lightgbm,recursive,1256118.49,1238481.0052955006,-17637.484704499366,17637.484704499366,0.014041258722733527,1,0.05,True
2025-07-07,2,2025-07-14,057,TRR,lightgbm,recursive,525376.52,1041543.552517712,516167.032517712,516167.032517712,0.9824706907680457,1,0.075,False
2025-07-07,3,2025-07-21,057,TRR,lightgbm,recursive,1081631.66,1109642.1965365524,28010.536536552478,28010.536536552478,0.02589655755504834,1,0.1,True
2025-07-07,4,2025-07-28,057,TRR,lightgbm,recursive,1305922.62,1290585.6132098495,-15337.006790150655,15337.006790150655,0.011744192615448115,1,0.125,True
