test_week,horizon,horizon_date,entity_id,liquidity_group,model,strategy,actual,forecast_p90,error,abs_error,wape,directionality,target_wape,meets_target
2025-07-07,5,2025-08-04,17C7,TRP,xgboost,direct,-828470.12,-998011.7,-169541.5675,169541.5675,0.20464415481876402,1,0.15,False
2025-07-07,6,2025-08-11,17C7,TRP,xgboost,direct,-886596.9400000001,-820995.06,65601.87750000006,65601.87750000006,0.07399289862200523,1,0.175,True
2025-07-07,7,2025-08-18,17C7,TRP,xgboost,direct,-148600.93,-123673.58,24927.351874999993,24927.351874999993,0.16774694394577472,1,0.2,True
2025-07-07,8,2025-08-25,17C7,TRP,xgboost,direct,-1235890.44,-827963.1,407927.31499999994,407927.31499999994,0.33006753818728457,1,0.225,False
2025-07-07,1,2025-07-07,4B9,TRP,xgboost,direct,-8100.19,-5468.6455,2631.5444921874996,2631.5444921874996,0.3248744155615485,1,0.05,False
2025-07-07,2,2025-07-14,4B9,TRP,xgboost,direct,-154382.78,-113863.95,40518.826875,40518.826875,0.2624569066252078,1,0.075,False
2025-07-07,3,2025-07-21,4B9,TRP,xgboost,direct,-154097.65,-113169.625,40928.024999999994,40928.024999999994,0.2655979828375059,1,0.1,False
2025-07-07,4,2025-07-28,4B9,TRP,xgboost,direct,-649569.7,-201319.0,448250.69999999995,448250.69999999995,0.6900732900564789,1,0.125,False
2025-07-07,5,2025-08-04,4B9,TRP,xgboost,direct,-29947.58,-28220.096,1727.4842968750017,1727.4842968750017,0.05768360237705356,1,0.15,True
2025-07-07,6,2025-08-11,4B9,TRP,xgboost,direct,-120467.96,-99899.555,20568.405312500006,20568.405312500006,0.17073755804032878,1,0.175,True
2025-07-07,7,2025-08-18,4B9,TRP,xgboost,direct,-25990.68,-25499.178,491.5022656250003,491.5022656250003,0.018910712056206314,1,0.2,True
2025-07-07,8,2025-08-25,4B9,TRP,xgboost,direct,-31107.2,-29725.186,1382.0144531250007,1382.0144531250007,0.04442747830486192,1,0.225,True
2025-07-07,1,2025-07-07,4B9,TRR,xgboost,direct,1126336.73,1.1067975e+06,-19539.22999999998,19539.22999999998,0.017347591958578837,1,0.05,True
2025-07-07,2,2025-07-14,4B9,TRR,xgboost,direct,787108.39,1.0505395e+06,263431.11,263431.11,0.3346821268161047,1,0.075,False
