entity_id,Entity_Name,Year_Title,liquidity_group,W1_Forecast,W2_Forecast,W3_Forecast,W4_Forecast,week_start,W1_Available,W2_Available,W3_Available,W4_Available,LP_Available_Count,LP_Volatility,LP_Trend,LP_Avg_Magnitude
11G5,RECYCO,2022/CW25,TRP,-142423.0,-1997335.0,-60963.0,-1908417.0,2022-06-20,True,True,True,True,4,1069914.2599060605,-588664.6666666666,-1027284.5
11G5,RECYCO,2022/CW26,TRP,-2166865.0,-147633.0,-1905942.0,-67744.0,2022-06-27,True,True,True,True,4,1119102.7780250271,699707.0,-1072046.0
11G5,RECYCO,2022/CW27,TRP,-210466.0,-2110804.0,-67196.0,-224636.0,2022-07-04,True,True,True,True,4,974284.4524543812,-4723.333333333333,-653275.5
11G5,RECYCO,2022/CW28,TRP,-2118319.0,-81572.0,-2272621.0,-50103.0,2022-07-11,True,True,True,True,4,1231223.5496500693,689405.3333333334,-1130653.75
11G5,RECYCO,2022/CW29,TRP,-555176.0,-2304880.0,-74395.0,-78127.0,2022-07-18,True,True,True,True,4,1058839.6318626348,159016.33333333334,-753144.5
11G5,RECYCO,2022/CW30,TRP,-2304880.0,-74395.0,-78127.0,-78127.0,2022-07-25,True,True,True,True,4,1113999.889171561,742251.0,-633882.25
11G5,RECYCO,2022/CW31,TRP,-74395.0,-78127.0,-78127.0,-78127.0,2022-08-01,True,True,True,True,4,1866.0,-1244.0,-77194.0
11G5,RECYCO,2022/CW32,TRP,-106615.0,-4179559.0,-45750.0,-381082.0,2022-08-08,True,True,True,True,4,2006181.3109255603,-91489.0,-1178251.5
11G5,RECYCO,2022/CW33,TRP,-1240494.0,-154025.0,-377923.0,-237386.0,2022-08-15,True,True,True,True,4,500624.5513323,334369.3333333333,-502457.0
11G5,RECYCO,2022/CW34,TRP,-203456.0,-498177.0,-287526.0,-1679225.0,2022-08-22,True,True,True,True,4,686045.2307008142,-491923.0,-667096.0
11G5,RECYCO,2022/CW35,TRP,-469721.0,-329184.0,-1645883.0,-206285.0,2022-08-29,True,True,True,True,4,664188.0410894569,87812.0,-662768.25
11G5,RECYCO,2022/CW36,TRP,-537783.0,-1971757.0,-82924.0,-539934.0,2022-09-05,True,True,True,True,4,821068.8214494162,-717.0,-783099.5
11G5,RECYCO,2022/CW37,TRP,-1958891.0,-193875.0,-1681122.0,-75982.0,2022-09-12,True,True,True,True,4,980648.6041542437,627636.3333333334,-977467.5
11G5,RECYCO,2022/CW38,TRP,-1027788.0,-1823667.0,-99850.0,-1893608.0,2022-09-19,True,True,True,True,4,838557.3495801684,-288606.6666666667,-1211228.25
11G5,RECYCO,2022/CW39,TRP,-2660527.0,-270613.0,-1906060.0,-97775.0,2022-09-26,True,True,True,True,4,1252433.0221701479,854250.6666666666,-1233743.75
11G5,RECYCO,2022/CW40,TRP,-2189697.0,-2122532.0,-95604.0,-93146.0,2022-10-03,True,True,True,True,4,1190662.050479305,698850.3333333334,-1125244.75
11G5,RECYCO,2022/CW41,TRP,-2194785.0,-1868355.0,-92149.0,-535473.0,2022-10-10,True,True,True,True,4,1016897.6249716586,553104.0,-1172690.5
11G5,RECYCO,2022/CW42,TRP,-2005830.0,-296461.0,-489386.0,-51335.0,2022-10-17,True,True,True,True,4,881796.980528209,651498.3333333334,-710753.0
11G5,RECYCO,2022/CW43,TRP,-386222.0,-2306767.0,-54168.0,-2439591.0,2022-10-24,True,True,True,True,4,1251571.1647368146,-684456.3333333334,-1296687.0
11G5,RECYCO,2022/CW44,TRP,-2506367.0,-241921.0,-2500822.0,-39163.0,2022-10-31,True,True,True,True,4,1366819.6533743031,822401.3333333334,-1322068.25
11G5,RECYCO,2022/CW45,TRP,-499439.0,-2417663.0,-38543.0,-2301454.0,2022-11-07,True,True,True,True,4,1222488.8955603032,-600671.6666666666,-1314274.75
11G5,RECYCO,2022/CW46,TRP,-2794234.0,-167201.0,-2311456.0,-47965.0,2022-11-14,True,True,True,True,4,1426294.985750844,915423.0,-1330214.0
11G5,RECYCO,2022/CW47,TRP,-293208.0,-2448558.0,-90133.0,-2090767.0,2022-11-21,True,True,True,True,4,1211428.5891344703,-599186.3333333334,-1230666.5
11G5,RECYCO,2022/CW48,TRP,-2782129.0,-176195.0,-2015175.0,-391658.0,2022-11-28,True,True,True,True,4,1263511.6819922626,796823.6666666666,-1341289.25
11G5,RECYCO,2022/CW49,TRP,-222890.0,-1823606.0,-442923.0,-547340.0,2022-12-05,True,True,True,True,4,722381.3279343881,-108150.0,-759189.75
11G5,RECYCO,2022/CW50,TRP,-1933097.0,-3203102.0,-736925.0,-32214.0,2022-12-12,True,True,True,True,4,1393146.128692536,633627.6666666666,-1476334.5
