entity_id,liquidity_group,week_start,amount_eur,amount_mean,amount_std,txn_count,amount_min,amount_max,amount_abs_sum,amount_abs_mean,is_month_start_max,is_month_end_max,is_quarter_start_max,is_quarter_end_max,is_year_start_max,is_year_end_max,is_weekend_sum,rolling_7d_sum_last,rolling_7d_mean_last,rolling_7d_std_last,rolling_7d_count_last,rolling_14d_sum_last,rolling_14d_mean_last,rolling_14d_std_last,rolling_14d_count_last,rolling_30d_sum_last,rolling_30d_mean_last,rolling_30d_std_last,rolling_30d_count_last,dow_0_avg_amount_mean,dow_1_avg_amount_mean,dow_2_avg_amount_mean,dow_3_avg_amount_mean,dow_4_avg_amount_mean,dow_5_avg_amount_mean,dow_6_avg_amount_mean,week_year,week_number,month,quarter,year
057,TRP,2022-01-03,-549.32,-549.32,,1,-549.32,-549.32,549.32,549.32,True,False,True,False,True,False,0,-549.32,-549.32,,1.0,-549.32,-549.32,,1.0,-549.32,-549.32,,1.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,1,1,1,2022
057,TRP,2022-01-10,-63437.73,-3964.858125,6450.758673812168,16,-22896.0,-69.3,63437.73,3964.858125,False,False,False,False,False,False,0,-16663.710000000003,-2380.53,4237.9501448617075,7.0,-57348.21,-4096.300714285714,6914.274037325822,14.0,-63987.05,-3763.944117647059,6300.614966254345,17.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,2,1,1,2022
057,TRP,2022-01-17,-53268.64,-3329.29,5940.8148323452515,16,-17685.18,-40.0,53268.64,3329.29,False,False,False,False,False,False,0,-33472.340000000004,-4781.762857142858,7703.694693004379,7.0,-37170.81,-2655.057857142857,5703.2317594435735,14.0,-110616.85,-3687.2283333333335,6311.689496462282,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,3,1,1,2022
057,TRP,2022-01-31,-314984.0,-4374.777777777777,5726.997564198033,72,-21318.0,-5.0,314984.0,4374.777777777777,True,True,False,False,False,False,0,-28423.89,-4060.555714285714,7686.594313432659,7.0,-40053.9,-2860.9928571428572,5523.771595118441,14.0,-128927.86,-4297.595333333334,6084.758794109647,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,5,1,1,2022
057,TRP,2022-02-07,-102375.61,-4875.029047619048,9176.60837130631,21,-36922.47,-16.82,102375.61,4875.029047619048,False,False,False,False,False,False,0,-33787.7,-4826.814285714286,8953.185900024375,7.0,-86663.99,-6190.285000000001,10923.033368672575,14.0,-139445.80000000002,-4648.193333333334,8393.183834405125,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,6,2,1,2022
057,TRP,2022-02-14,-16215.64,-2702.6066666666666,5060.850989510229,6,-12963.31,-56.54,16215.64,2702.6066666666666,False,False,False,False,False,False,0,-40927.70999999999,-5846.8157142857135,9515.559067176693,7.0,-57225.03,-4087.5021428571426,6984.46140078782,14.0,-122581.8,-4086.06,8020.163017428268,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,7,2,1,2022
057,TRP,2022-02-21,-34628.61,-4328.57625,7973.948136147466,8,-23040.54,-115.0,34628.61,4328.57625,False,False,False,False,False,False,0,-34451.079999999994,-4921.5828571428565,8420.15596968907,7.0,-50844.25,-3631.7321428571427,6692.2020316199405,14.0,-139324.84,-4644.1613333333335,8730.834949740205,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,8,2,1,2022
057,TRP,2022-02-28,-280415.24,-4063.988985507246,6348.621164339811,69,-34234.25,-30.99,280415.24,4063.988985507246,True,True,False,False,False,False,0,-14467.879999999994,-2066.8399999999992,3349.6375866253675,7.0,-45920.89,-3280.0635714285713,5007.47291402883,14.0,-103672.96,-3455.7653333333337,4215.278250527543,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,9,2,1,2022
057,TRP,2022-03-07,-36616.35,-2615.453571428571,4708.225940424511,14,-17782.73,-24.04,36616.35,2615.453571428571,False,False,False,False,False,False,0,-4268.729999999993,-609.8185714285704,1005.3609616854263,7.0,-36616.35,-2615.453571428571,4708.225940424507,14.0,-90573.94,-3019.1313333333333,4646.0790014730865,30.0,-5594.982461964038,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,10,3,1,2022
057,TRP,2022-03-14,-16034.56,-2672.4266666666667,4970.164848512237,6,-12712.0,-69.3,16034.56,2672.4266666666667,False,False,False,False,False,False,0,-16058.599999999991,-2294.085714285713,4646.228791707885,7.0,-23678.74,-1691.3385714285716,3355.551428568336,14.0,-71915.86,-2397.1953333333336,4122.832730506543,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,11,3,1,2022
057,TRP,2022-03-21,-44048.869999999995,-4004.4427272727266,6489.998626032352,11,-17373.71,-67.0,44048.869999999995,4004.4427272727266,False,True,False,True,False,False,0,-24947.549999999992,-3563.935714285713,5852.060129247531,7.0,-44750.11,-3196.4364285714287,5914.528212443822,14.0,-95308.14,-3176.938,5392.125858709284,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,12,3,1,2022
057,TRP,2022-03-28,-336028.69,-4603.1327397260275,7237.201788805313,73,-38572.3,-23.68,336028.69,4603.1327397260275,True,True,True,True,False,False,0,-24554.769999999993,-3507.8242857142845,7721.358897408888,7.0,-36517.189999999995,-2608.370714285714,5664.950572087251,14.0,-107350.17,-3578.339,5126.640153047302,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,13,3,1,2022
057,TRP,2022-04-11,-158029.82,-6870.861739130435,13760.057761013693,23,-53849.84,-31.0,158029.82,6870.861739130435,False,False,False,False,False,False,0,-7041.789999999993,-1005.969999999999,1806.7809939318593,7.0,-81666.81,-5833.3435714285715,14212.08226838894,14.0,-182584.59,-6086.153,12572.377470375597,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,15,4,2,2022
057,TRP,2022-04-18,-165.27,-82.635,67.36606304364238,2,-130.27,-35.0,165.27,82.635,False,False,False,False,False,False,0,-6962.259999999993,-994.6085714285704,1812.7959623597144,7.0,-24038.239999999998,-1717.0171428571427,3346.1453534188427,14.0,-161722.18,-5390.739333333333,12292.639842163173,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,16,4,2,2022
057,TRP,2022-05-02,-332290.66,-3733.6029213483143,5876.0469281093765,89,-31245.23,-9.0,332290.66,3733.6029213483143,True,False,False,False,False,False,0,-41405.799999999996,-5915.114285714285,11360.748326716652,7.0,-66415.86,-4743.99,8473.912288608532,14.0,-125540.61,-4184.687,7252.0460038977435,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,18,5,2,2022
057,TRP,2022-05-09,-20162.649999999998,-1440.1892857142855,2074.6225156675696,14,-7270.75,-5.0,20162.649999999998,1440.1892857142855,False,False,False,False,False,False,0,-8915.839999999997,-1273.691428571428,2654.7087163154115,7.0,-20162.65,-1440.189285714286,2074.622515667559,14.0,-87877.59,-2929.2529999999997,6095.661520537336,30.0,-5594.982461964038,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,19,5,2,2022
057,TRP,2022-05-16,-70967.69,-4174.57,6280.511747416567,17,-18642.05,-26.28,70967.69,4174.57,False,False,False,False,False,False,0,-27715.889999999996,-3959.4128571428564,6483.956333141866,7.0,-52092.86,-3720.9185714285713,5448.92888118369,14.0,-89380.84,-2979.3613333333333,5061.71927920143,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,20,5,2,2022
057,TRP,2022-05-23,-1093.9,-546.95,742.3914095677563,2,-1071.9,-22.0,1093.9,546.95,False,False,False,False,False,False,0,-23832.23,-3404.6042857142857,6551.606780502674,7.0,-49666.79,-3547.627857142857,5496.567058458012,14.0,-90040.84000000001,-3001.3613333333337,5051.739436798132,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,21,5,2,2022
057,TRP,2022-05-30,-233661.61,-3291.0085915492955,4852.321100392295,71,-28364.31,-6.44,233661.61,3291.0085915492955,True,True,False,False,False,False,0,-16797.709999999995,-2399.6728571428566,3238.079912863574,7.0,-34333.979999999996,-2452.4271428571424,2948.281242378407,14.0,-96719.58,-3223.986,3855.417821245381,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,22,5,2,2022
057,TRP,2022-06-06,-9539.07,-733.7746153846153,1026.3449580722147,13,-2874.02,-5.5,9539.07,733.7746153846153,False,False,False,False,False,False,0,-7934.149999999996,-1133.4499999999994,1278.8700425897323,7.0,-10088.39,-720.5992857142857,987.3118488833958,14.0,-54396.42,-1813.214,2513.5741388084816,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,23,6,2,2022
057,TRP,2022-06-13,-111579.24,-11157.924,27261.008024675175,10,-87250.56,-18.72,111579.24,11157.924,False,False,False,False,False,False,0,-23674.86,-3382.1228571428574,6328.776852372321,7.0,-116882.96,-8348.782857142858,23155.1566091541,14.0,-137916.02,-4597.200666666667,15998.155282105006,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,24,6,2,2022
057,TRP,2022-06-20,-5469.32,-911.5533333333333,809.821201690019,6,-2357.89,-120.9,5469.32,911.5533333333333,False,False,False,False,False,False,0,-22901.72,-3271.674285714286,6287.901479666736,7.0,-29779.280000000002,-2127.091428571429,4521.032160673496,14.0,-127136.94999999998,-4237.898333333333,15998.780938913822,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,25,6,2,2022
057,TRP,2022-06-27,-252162.63,-3708.2739705882354,4887.024571611519,68,-24131.25,-33.98,252162.63,3708.2739705882354,True,True,True,True,False,False,0,-14423.380000000005,-2060.482857142858,2288.6417154119385,7.0,-19189.32,-1370.6657142857143,1764.415533914501,14.0,-93635.44999999998,-3121.181666666666,4846.672852283568,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,26,6,2,2022
057,TRP,2022-07-04,-201.99,-201.99,,1,-201.99,-201.99,201.99,201.99,False,False,False,False,False,False,0,-8645.370000000004,-1235.0528571428579,1567.8713638636668,7.0,-17881.31,-1277.2364285714286,1790.9020231355462,14.0,-92943.63999999998,-3098.121333333333,4859.265560737597,30.0,-5594.9824619640385,-4731.774305396097,-5641.958584615385,-5765.376978021978,-4190.524411326378,,,2022,27,7,3,2022
